ID,Filename,Utterance start time,Estimated Lexical Match,Certainty,Target Letter,Audio Quality Comment,Cluster Status,Cluster ID,curve_c,curve_m,Condition,avg_sim,avg_phon_sim
0006_VAZ,VF-002-20170316133156.wav,17,børn,3.0,b,high,1,2,41.32000117412053,0.0084821466851968,3,0.7562615,0.7777777777777778
0006_VAZ,VF-002-20170316133156.wav,25,basker,1.0,b,high,0,3,41.32000117412053,0.0084821466851968,3,0.7079084,0.6083333333333333
0006_VAZ,VF-002-20170316133156.wav,28,bramming,3.0,b,high,1,3,41.32000117412053,0.0084821466851968,3,0.7079084,0.6083333333333333
0006_VAZ,VF-002-20170316133156.wav,29,blæst,3.0,b,high,1,3,41.32000117412053,0.0084821466851968,3,0.7079084,0.6083333333333333
0006_VAZ,VF-002-20170316133156.wav,32,bål,3.0,b,high,1,3,41.32000117412053,0.0084821466851968,3,0.7079084,0.6083333333333333
0006_VAZ,VF-002-20170316133156.wav,42,båthorn,3.0,b,high,0,4,41.32000117412053,0.0084821466851968,3,0.73292893,0.7222222222222223
0006_VAZ,VF-002-20170316133156.wav,44,bål,3.0,b,high,1,4,41.32000117412053,0.0084821466851968,3,0.73292893,0.7222222222222223
0006_VAZ,VF-002-20170316133156.wav,48,bil,3.0,b,high,1,4,41.32000117412053,0.0084821466851968,3,0.73292893,0.7222222222222223
0006_VAZ,VF-002-20170316133156.wav,53,baskerlandet,3.0,b,high,0,5,41.32000117412053,0.0084821466851968,3,0.7608269,0.6833333333333332
0006_VAZ,VF-002-20170316133156.wav,57,belfast,3.0,b,high,1,5,41.32000117412053,0.0084821466851968,3,0.7608269,0.6833333333333332
0006_VAZ,VF-003-20170316103928.wav,6,maiken,2.0,m,high,0,1,26.50010390340555,0.0224235232379954,1,0.69573504,0.6788888888888888
0006_VAZ,VF-003-20170316103928.wav,7,morten,3.0,m,high,1,1,26.50010390340555,0.0224235232379954,1,0.69573504,0.6788888888888888
0006_VAZ,VF-003-20170316103928.wav,9,maiken,2.0,m,high,1,1,26.50010390340555,0.0224235232379954,1,0.69573504,0.6788888888888888
0006_VAZ,VF-003-20170316103928.wav,11,maj,1.0,m,high,1,1,26.50010390340555,0.0224235232379954,1,0.69573504,0.6788888888888888
0006_VAZ,VF-003-20170316103928.wav,13,mad,3.0,m,high,1,1,26.50010390340555,0.0224235232379954,1,0.69573504,0.6788888888888888
0006_VAZ,VF-003-20170316103928.wav,15,mel,3.0,m,high,1,1,26.50010390340555,0.0224235232379954,1,0.69573504,0.6788888888888888
0006_VAZ,VF-003-20170316103928.wav,19,morsom,3.0,m,high,0,2,26.50010390340555,0.0224235232379954,1,0.7020475,0.6166666666666666
0006_VAZ,VF-003-20170316103928.wav,21,mystisk,3.0,m,high,1,2,26.50010390340555,0.0224235232379954,1,0.7020475,0.6166666666666666
0006_VAZ,VF-003-20170316103928.wav,23,metal,3.0,m,high,1,2,26.50010390340555,0.0224235232379954,1,0.7020475,0.6166666666666666
0006_VAZ,VF-003-20170316103928.wav,46,mus,3.0,m,high,0,3,26.50010390340555,0.0224235232379954,1,0.7189906,0.6194444444444445
0006_VAZ,VF-003-20170316103928.wav,48,mis,3.0,m,high,1,3,26.50010390340555,0.0224235232379954,1,0.7189906,0.6194444444444445
0006_VAZ,VF-003-20170316103928.wav,51,maiken,,m,high,1,3,26.50010390340555,0.0224235232379954,1,0.7189906,0.6194444444444445
0006_VAZ,VF-003-20170316103928.wav,52,majbritt,2.0,m,high,1,3,26.50010390340555,0.0224235232379954,1,0.7189906,0.6194444444444445
0006_VAZ,VF-003-20170316103928.wav,57,materiale,3.0,m,high,1,3,26.50010390340555,0.0224235232379954,1,0.7189906,0.6194444444444445
0006_VAZ,VF-003-20170316120603.wav,2,drikke,2.0,d,high,0,1,13.484555178611952,0.0295311650284503,2,0.7752777,0.5555555555555555
